Pos,Race No,Wave,Flag,Name,Time,Net Time,Category,Cat Pos,Gender,Gen Pos,Club,Country
5382,33503,D - Group 1,ZA,Siyathokoza DLAMINI,09:42:30,09:41:40,50-59,745,Male,4808,EMPANGENI AC,South Africa
5383,34364,M - Group 2,NL,Thomas SLINGENBERG,09:42:32,09:42:04,50-59,746,Male,4809,,Netherlands
5384,28769,E - Group 1,ZA,Jose BATES,09:42:32,09:40:29,40-49,2217,Male,4810,NEDBANK RUNNING CLUB CG,South Africa
5385,43410,F - Group 1,ZA,Gayle MACPHERSON,09:42:32,09:39:10,40-49,244,Female,575,RUN ZONE AC,South Africa
5386,37599,F - Group 1,BR,Leonardo CALIXTO,09:42:33,09:39:24,50-59,747,Male,4811,MPR,Brazil
5387,53956,H - Group 1,ZA,Fathir MAGOBA,09:42:34,09:40:46,50-59,748,Male,4812,NEDBANK CLUB KWA-ZULU NATAL,South Africa
5388,52920,M - Group 2,ZW,Walter CHIMUKA,09:42:34,09:39:47,40-49,2218,Male,4813,HARARE ATHLETIC CLUB,Zimbabwe
5389,42426,D - Group 1,ZA,Reinier KLAASSEN,09:42:35,09:40:54,50-59,749,Male,4814,OLD SELBORNIAN ROAD RUNNERS,South Africa
5390,43431,G - Group 1,ZA,Marga ROETS,09:42:39,09:39:05,40-49,245,Female,576,PAARL AC,South Africa
5391,31585,E - Group 1,ZA,Simosihle MNGUNI,09:42:41,09:39:30,50-59,750,Male,4815,NEDBANK CLUB KWA-ZULU NATAL,South Africa
5392,51864,F - Group 1,DE,Thomas TIEDEMANN,09:42:41,09:39:52,50-59,751,Male,4816,MAGNOLIA ROAD RUNNERS,Germany
5393,54563,E - Group 1,ZA,Ryan HOFFMAN,09:42:41,09:40:00,Senior,1770,Male,4817,JEPPE QUONDAM AC,South Africa
5394,28322,G - Group 1,ZA,Jaco WILKINSON,09:42:42,09:39:32,40-49,2219,Male,4818,MAGNOLIA ROAD RUNNERS,South Africa
5395,28406,E - Group 1,ZA,Fisokuhle MHLONGO,09:42:46,09:40:32,40-49,2220,Male,4819,HOLLYWOOD AC KZNA,South Africa
5396,36219,E - Group 1,ZA,Royden BROWN,09:42:46,09:39:59,Senior,1771,Male,4820,TEAM VITALITY CLUB CG,South Africa
5397,29728,C - Group 1,ZA,Richard HARRISON,09:42:47,09:41:46,40-49,2221,Male,4821,SAVAGES AC,South Africa
5398,40562,D - Group 1,ZA,Sifiso MALINGA,09:42:47,09:41:18,40-49,2222,Male,4822,XCEL RUNNING CLUB,South Africa
5399,48221,C - Group 1,ZA,Mahri Dominic CONSTANT,09:42:47,09:42:10,Senior,279,Female,577,NEDBANK RUNNING CLUB WP,South Africa
5400,49651,E - Group 1,ZA,Thato MOKUBUNG,09:42:51,09:40:19,Senior,1772,Male,4823,SOUTH AFRICAN NATIONAL DEFENCE FORCE LIM,South Africa
5401,42057,F - Group 1,ZA,Thabiso MASWANGANYI,09:42:51,09:40:54,Senior,1773,Male,4824,SOUTH AFRICAN NATIONAL DEFENCE FORCE LIM,South Africa
5402,56939,H - Group 1,ZA,David BOPAPE,09:42:52,09:39:51,40-49,2223,Male,4825,POLOKWANE AC,South Africa
5403,32789,H - Group 1,ZA,Lesiba MOTHIBA,09:42:54,09:38:21,60-69,78,Male,4826,TEAM VITALITY CLUB CG,South Africa
5404,15122,M - Group 2,IN,Satya BONALA,09:42:55,09:40:58,60-69,79,Male,4827,TCS AMSTERDAM,India
5405,34791,D - Group 1,AU,Lyndon ORPWOOD,09:42:55,09:41:18,50-59,752,Male,4828,BATHIRST RUNNERS,Australia
5406,44246,E - Group 1,ZA,Sibongiseni MAGWAZA,09:42:55,09:40:45,40-49,2224,Male,4829,HOLLYWOOD AC CGA,South Africa
5407,45729,D - Group 1,ZA,Sipho Willem MAWELA,09:42:55,09:41:53,50-59,753,Male,4830,NEDBANK RUNNING CLUB MPU,South Africa
5408,58111,F - Group 1,ZA,Laurenzo MOODLEY,09:42:55,09:39:09,40-49,2225,Male,4831,UMGENI WATER AC,South Africa
5409,19198,E - Group 1,ZA,Moyahabo Ronny MOTAU,09:42:56,09:40:15,50-59,754,Male,4832,32GI RUNNING CLUB CG,South Africa
5410,22174,H - Group 1,ZA,Lauren BARNARD,09:42:57,09:39:16,40-49,246,Female,578,WESTVILLE AC,South Africa
5411,42859,G - Group 1,ZA,Marelize VAN RYNEVELD,09:42:59,09:38:59,40-49,247,Female,579,RUN ZONE AC,South Africa
5412,14129,H - Group 1,ZA,Tawanda SANGO,09:43:03,09:37:49,40-49,2226,Male,4833,TEAM VITALITY AC WP,South Africa
5413,13344,F - Group 1,ZA,Katlego LETSOALO,09:43:04,09:40:07,Senior,1774,Male,4834,FAT CATS AC CG,South Africa
5414,59011,G - Group 1,ZA,Maria CHRISTOU,09:43:04,09:40:44,40-49,248,Female,580,JEPPE QUONDAM AC,South Africa
5415,35243,E - Group 1,ZA,Steven MOETI,09:43:06,09:40:56,Senior,1775,Male,4835,ZWAKALA AC,South Africa
5416,9694,B - Group 1,ZA,Sihle MSOMI,09:43:07,09:42:54,40-49,2227,Male,4836,HOLLYWOOD AC KZNA,South Africa
5417,50452,F - Group 1,ZA,Tieho RAKOTO,09:43:09,09:39:03,40-49,2228,Male,4837,MARITZBURG CITY AC,South Africa
5418,36380,F - Group 1,IN,Shiva BANSAL,09:43:09,09:40:22,40-49,2229,Male,4838,RUNAHOLICS,India
5419,56501,D - Group 1,DE,Birgit BARBINI,09:43:09,09:41:35,40-49,249,Female,581,,Germany
5420,14802,G - Group 1,XX,Yury KELEMBET,09:43:09,09:41:54,50-59,755,Male,4839,RUNNING SCHOOL OF LEONID SHVETSOV (HTTPS://RUN.LEONIDSHVETSOV.RU/),ANA
5421,26723,D - Group 1,ZA,Katlego MALEBOGO,09:43:10,09:41:32,Senior,1776,Male,4840,HOLLYWOOD AC CGA,South Africa
5422,40153,G - Group 1,ZA,Benny NHLAPO,09:43:10,09:38:41,40-49,2230,Male,4841,DEPARTMENT OF SCIENCE AND TECHNOLOGY SUMBANDILA,South Africa
5423,52531,G - Group 1,IN,Sujit Prabhakar KAKADE,09:43:10,09:39:31,Senior,1777,Male,4842,RUNHOLIC,India
5424,9009,E - Group 1,ZA,Sibonelo MASHIMANE,09:43:12,09:41:34,40-49,2231,Male,4843,HOLLYWOOD AC KZNA,South Africa
5425,12462,F - Group 1,ZA,Langa MEYIWA,09:43:13,09:40:22,40-49,2232,Male,4844,TEAM VITALITY CLUB CG,South Africa
5426,39737,G - Group 1,ZA,Johnnie VAN DEN BERG,09:43:14,09:38:29,50-59,756,Male,4845,TUKS AC,South Africa
5427,47468,F - Group 1,ZA,Johan BRITS,09:43:15,09:39:51,Senior,1778,Male,4846,ATLANTIC AC,South Africa
5428,54105,F - Group 1,ZA,Hannelie BENADE,09:43:16,09:40:59,40-49,250,Female,582,FIT PRETORIA,South Africa
5429,28857,F - Group 1,ZA,Danie BENADE,09:43:17,09:40:58,Senior,1779,Male,4847,FIT PRETORIA,South Africa
5430,40730,E - Group 1,ZW,Taedzwa Malvin CHAPFIKA,09:43:17,09:41:07,40-49,2233,Male,4848,WATERFALL CITY AC,Zimbabwe
5431,48834,F - Group 1,ZA,Zanoxolo MAHLOMBE,09:43:20,09:40:04,40-49,2234,Male,4849,KOMANI RUNNERS CLUB,South Africa
5432,54321,F - Group 1,ZA,Azwimbavhi MAMANYUHA,09:43:21,09:41:50,60-69,80,Male,4850,ESKOM AC GN,South Africa
5433,40977,F - Group 1,ZA,Shand SPENCER,09:43:22,09:40:21,50-59,757,Male,4851,EDENVALE RAND ROAD WARRIORS,South Africa
5434,10793,H - Group 1,ZA,Tshifhiwa LALUMBE,09:43:22,09:39:01,40-49,2235,Male,4852,ZWAKALA AC,South Africa
5435,22158,D - Group 1,ZA,Zakhele DLAMINI,09:43:22,09:39:22,40-49,2236,Male,4853,ASSEGAAI MARATHON CLUB,South Africa
5436,51742,M - Group 2,ZA,Moroatshoge MPHAHLELE,09:43:22,09:41:19,40-49,2237,Male,4854,NORTHAM PLATINUM MINE AC,South Africa
5437,51999,H - Group 1,ZA,Chris WALLIS,09:43:26,09:39:15,40-49,2238,Male,4855,CRUSADERS AC KZN,South Africa
5438,49768,E - Group 1,ZA,Tendani NETHONONDA,09:43:27,09:41:04,50-59,758,Male,4856,FAT CATS AC CG,South Africa
5439,36511,E - Group 1,ZA,Mzwandile RADEBE,09:43:28,09:40:39,50-59,759,Male,4857,COLLEGIANS HARRIERS,South Africa
5440,56427,F - Group 1,ZA,Tlou MATHIBA,09:43:29,09:40:28,Senior,1780,Male,4858,MOGALAKWENA AC,South Africa
5441,31876,L - Group 2,ZA,Mabila KHATHUTSHELO NORMAN,09:43:29,09:43:27,50-59,760,Male,4859,SAPS LIMPOPO MARATHON CLUB,South Africa
5442,47758,E - Group 1,ZA,Kgabo MAREMA,09:43:30,09:40:24,Senior,1781,Male,4860,MOGALAKWENA AC,South Africa
5443,52576,F - Group 1,ZM,Chibwe KASONDE,09:43:30,09:39:02,40-49,2239,Male,4861,ULTRA ATHLETICS CLUB,Zambia
5444,33012,F - Group 1,ZA,Tsietsi MOTSATSI,09:43:31,09:40:56,40-49,2240,Male,4862,SANDF,South Africa
5445,33784,E - Group 1,ZA,Sthembele JEZA,09:43:31,09:40:41,Senior,1782,Male,4863,BUFFALO RUNNERS KING WILLIAMS TOWN,South Africa
5446,24313,D - Group 1,ZA,Thalala MKHWANAZI,09:43:32,09:41:46,40-49,2241,Male,4864,HOLLYWOOD AC KZNA,South Africa
5447,38386,F - Group 1,ZA,Kutumela MAKWELA,09:43:34,09:40:03,50-59,761,Male,4865,ATTERIDGEVILLE AC,South Africa
5448,26845,F - Group 1,ZA,Rashid KASSIM,09:43:35,09:40:21,40-49,2242,Male,4866,BROTHERHOOD AC,South Africa
5449,29806,G - Group 1,ZA,Makalo LEOATLE,09:43:35,09:40:57,40-49,2243,Male,4867,SOCIAL DEVELOPMENT AC,South Africa
5450,57272,G - Group 1,ZA,Owen MANICUS,09:43:36,09:38:54,40-49,2244,Male,4868,BROTHERHOOD AC,South Africa
5451,59039,G - Group 1,ZA,Chris WORP,09:43:36,09:40:07,50-59,762,Male,4869,ATLANTIC AC,South Africa
5452,51489,E - Group 1,ZA,Cameron JENKINS,09:43:37,09:41:14,Senior,1783,Male,4870,TEAM VITALITY CLUB KZN,South Africa
5453,37761,C - Group 1,GB,Adam GOUHA,09:43:38,09:43:02,Senior,1784,Male,4871,DOHA BAY RUNNING CLUB (DBRC),United Kingdom
5454,56006,G - Group 1,ZA,Siyabulela MBHELE,09:43:40,09:40:34,Senior,1785,Male,4872,DEPARTMENT OF RURAL DEVELOPMENT AND LAND REFORM AC GN,South Africa
5455,56343,C - Group 1,ZA,Rudzani MAGAU,09:43:40,09:43:02,Senior,1786,Male,4873,WATERFALL AC,South Africa
5456,15285,D - Group 1,ZA,Albie BASSON,09:43:43,09:42:25,40-49,2245,Male,4874,STELLENBOSCH AC,South Africa
5457,54143,H - Group 1,ZA,Aleck MUSIIWA,09:43:43,09:38:27,40-49,2246,Male,4875,LEBONE II AC,South Africa
5458,8805,E - Group 1,ZA,Raymond RAMETSE,09:43:44,09:42:20,50-59,763,Male,4876,FOLANG MOKERONG AC,South Africa
5459,51269,E - Group 1,ZA,Bokang MOKOTLA,09:43:45,09:41:49,Senior,1787,Male,4877,SOUTH AFRICAN POLICE SERVICE WP,South Africa
5460,22709,F - Group 1,ZA,Sibonelo KHANYILE,09:43:48,09:39:42,40-49,2247,Male,4878,TEAM VITALITY CLUB KZN,South Africa
5461,24682,E - Group 1,ZA,Siyabonga MTHEMBU,09:43:49,09:41:35,40-49,2248,Male,4879,HOLLYWOOD AC KZNA,South Africa
5462,9997,G - Group 1,ZA,Vuyisile TUNCE,09:43:50,09:40:25,50-59,764,Male,4880,SOUTH AFRICAN POLICE SERVICE WP,South Africa
5463,28533,F - Group 1,ZA,Lungelo CHILIZA,09:43:50,09:41:03,40-49,2249,Male,4881,SAPS KZN AC,South Africa
5464,53521,M - Group 2,SZ,Mthunzi MABUZA,09:43:51,09:42:55,Senior,1788,Male,4882,ECOWATER,Eswatini
5465,7438,M - Group 2,ZA,Mthokozisi MAMBI,09:43:52,09:42:12,50-59,765,Male,4883,IRENE ATHLETICS CLUB,South Africa
5466,53739,F - Group 1,ZA,Tshepiso MOALOSI,09:43:52,09:40:07,Senior,1789,Male,4884,WATERFALL AC,South Africa
5467,56221,E - Group 1,ZA,Collin MAKHUBU,09:43:52,09:41:23,50-59,766,Male,4885,UNIVERSITY OF KWAZULU-NATAL AC DBN,South Africa
5468,29708,D - Group 1,ZA,Thamsanqa QULO,09:43:53,09:42:29,40-49,2250,Male,4886,CHILLIE RUNNING CLUB CG,South Africa
5469,44318,G - Group 1,ZA,Hazel LA MONICA,09:43:54,09:41:34,40-49,251,Female,583,JEPPE QUONDAM AC,South Africa
5470,9748,G - Group 1,ZA,Rocky Christiaan VAN STADEN,09:43:55,09:41:07,50-59,767,Male,4887,OVERKRUIN AC,South Africa
5471,27882,H - Group 1,ZA,Omashani NAIDOO,09:43:56,09:42:38,50-59,51,Female,584,NEDBANK RUNNING CLUB KZN,South Africa
5472,49067,N - Group 2,ZA,Linda Pat MDUNGE,09:43:56,09:40:46,40-49,2251,Male,4888,KWA-THEMA STRIDERS,South Africa
5473,54360,C - Group 1,ZA,Simon CHITTENDEN,09:43:57,09:43:21,Senior,1790,Male,4889,JEPPE QUONDAM AC,South Africa
5474,50095,M - Group 2,GB,Francis WAINWRIGHT,09:43:57,09:41:23,50-59,768,Male,4890,CHIPPENHAM HARRIERS,United Kingdom
5475,18593,F - Group 1,ZA,Geddes GALLANT,09:44:00,09:40:45,50-59,769,Male,4891,SOUTH AFRICAN NATIONAL DEFENCE FORCE EP,South Africa
5476,59430,C - Group 1,ZA,Simnikiwe MOYAKHE,09:44:00,09:42:57,40-49,2252,Male,4892,WATERFALL AC,South Africa
5477,56924,G - Group 1,ZA,Kemele MOLOI,09:44:00,09:41:05,40-49,2253,Male,4893,XCEL RUNNING CLUB,South Africa
5478,35173,E - Group 1,ZA,Tumelo MOKGOETSI,09:44:04,09:41:29,40-49,2254,Male,4894,CENTRE CITY TITANIUMS AC,South Africa
5479,52873,H - Group 1,ZA,Calvin NETILI,09:44:04,09:41:18,50-59,770,Male,4895,MANONI RUNNING CLUB,South Africa
5480,42092,F - Group 1,ZA,Ongeziwe DANISO,09:44:04,09:42:19,Senior,1791,Male,4896,TEAM VITALITY CLUB CG,South Africa
5481,52619,H - Group 1,ZA,Edward MOTLOUNG,09:44:04,09:40:39,50-59,771,Male,4897,CENTRE CITY TITANIUMS AC,South Africa
5482,42945,L - Group 2,ZA,Setty NDABA,09:44:05,09:43:00,60-69,81,Male,4898,STANDARD BANK AC,South Africa
5483,45838,D - Group 1,ZA,Tshwaro Ignatius MOETI,09:44:09,09:42:44,40-49,2255,Male,4899,SANDF,South Africa
5484,29109,E - Group 1,ZA,Dries STRYDOM,09:44:09,09:42:49,40-49,2256,Male,4900,GREEN MILE AC,South Africa
5485,46319,E - Group 1,ZA,Ernst ELOFF,09:44:09,09:42:33,Senior,1792,Male,4901,GREEN MILE AC,South Africa
5486,32555,H - Group 1,ZA,Thusano ṊETSHISIMANANI,09:44:10,09:40:12,Senior,1793,Male,4902,TEAM VITALITY CLUB CG,South Africa
5487,54826,F - Group 1,ZA,Jacques GRIMBEEK,09:44:11,09:41:32,50-59,772,Male,4903,STRAND AC,South Africa
5488,40529,F - Group 1,ZA,Nkosizile MANYANGAZA,09:44:15,09:41:08,50-59,773,Male,4904,TEAM VITALITY CLUB CG,South Africa
5489,22255,J - Group 1,ZA,Lindani Dennis NGCAMU,09:44:15,09:41:47,Senior,1794,Male,4905,VERTICAL SPACES AC,South Africa
5490,43754,E - Group 1,NL,Tim TESSENSOHN,09:44:17,09:42:26,60-69,82,Male,4906,,Netherlands
5491,38099,D - Group 1,GB,Richard BISCOE,09:44:17,09:42:31,40-49,2257,Male,4907,,United Kingdom
5492,53119,D - Group 1,ZA,Pleasure PHELEPE,09:44:19,09:43:15,Senior,1795,Male,4908,NEDBANK RUNNING CLUB MPU,South Africa
5493,10522,D - Group 1,GB,Nikki CHAMBERLAIN,09:44:21,09:42:34,50-59,52,Female,585,KNUTSFORD TRI CLUB,United Kingdom
5494,56317,G - Group 1,ZA,Gavin LEVENSTEIN,09:44:23,09:41:48,Senior,1796,Male,4909,SAVAGES AC,South Africa
5495,16653,H - Group 1,ZA,Michael PAUL,09:44:23,09:41:26,Senior,1797,Male,4910,TEAM VITALITY CLUB KZN,South Africa
5496,54590,H - Group 1,ZA,Brett DOWSETT,09:44:23,09:41:28,Senior,1798,Male,4911,SAVAGES AC,South Africa
5497,27365,M - Group 2,ZA,Matsemela MAKGAHLELA,09:44:24,09:44:21,40-49,2258,Male,4912,ATTERIDGEVILLE AC,South Africa
5498,39638,G - Group 1,ZA,Mandlakayise NCOBELA,09:44:24,09:39:58,40-49,2259,Male,4913,UMZIMKHULU STRIDERS,South Africa
5499,10979,D - Group 1,ZA,Charles SIBIYA,09:44:27,09:43:06,50-59,774,Male,4914,RUNNERS OF HOPE,South Africa
5500,31346,H - Group 1,ZA,Bohlale TSOTETSI,09:44:28,09:40:57,Senior,280,Female,586,CHILLIE RUNNING CLUB CG,South Africa
5501,59107,D - Group 1,ZA,Bathandwa MGIJIMA,09:44:28,09:43:26,Senior,1799,Male,4915,INYIBIBA ATHLETICS CLUB,South Africa
5502,31736,E - Group 1,ZA,Chumani GWADISO,09:44:28,09:42:34,40-49,2260,Male,4916,INYIBIBA ATHLETICS CLUB,South Africa
5503,46364,E - Group 1,ZA,Simphiwe KOTI,09:44:29,09:43:01,40-49,2261,Male,4917,ORIGINAL MAMBAS AC,South Africa
5504,37425,H - Group 1,ZA,Mpho MASASANE,09:44:29,09:40:42,Senior,1800,Male,4918,DISTANCE RUN CLUB,South Africa
5505,36318,H - Group 1,ZA,Mzo Hendry NGELEKA,09:44:29,09:39:19,40-49,2262,Male,4919,HOLLYWOOD AC KZNA,South Africa
5506,31658,H - Group 1,ZA,Mbuyiseni SHONGWE,09:44:30,09:40:31,50-59,775,Male,4920,PHUMA KZN AC,South Africa
5507,29081,M - Group 2,ZA,Zeph BUTHELEZI,09:44:30,09:43:14,50-59,776,Male,4921,WOODVIEW AC,South Africa
5508,56987,C - Group 1,CA,Victor KOKTA,09:44:31,09:43:43,50-59,777,Male,4922,,Canada
5509,18875,N - Group 2,ZA,Tony MOHOLI,09:44:32,09:40:52,50-59,778,Male,4923,WATERFALL AC,South Africa
5510,17444,H - Group 1,ZA,Sifiso NGIDI,09:44:34,09:39:22,Senior,1801,Male,4924,RANDBURG HARRIERS,South Africa
5511,11445,G - Group 1,ZA,Julian HEATH,09:44:36,09:41:24,Senior,1802,Male,4925,PIRATES ROAD RUNNING CLUB,South Africa
5512,42936,N - Group 2,ZA,Hanrie JANSE VAN RENSBURG,09:44:39,09:41:43,Senior,281,Female,587,VAN DER MERWE & ROBERTSON DURBANVILLE AC,South Africa
5513,32506,G - Group 1,ZA,Wayne BLACKBEARD,09:44:40,09:40:09,Senior,1803,Male,4926,TEAM VITALITY ATLETIC CLUB GN,South Africa
5514,16158,F - Group 1,ZA,Steven THABETHE,09:44:41,09:43:26,Senior,1804,Male,4927,CITY OF MBOMBELA MARATHON CLUB,South Africa
5515,7854,J - Group 1,ZA,Christel SCHOEMAN,09:44:43,09:39:29,Senior,282,Female,588,PARYS MULTISPORT CLUB,South Africa
5516,55464,F - Group 1,ZA,Riana RUDOLPH,09:44:43,09:41:30,40-49,252,Female,589,TEAM VITALITY ATLETIC CLUB GN,South Africa
5517,41695,D - Group 1,ZA,Sabelo KHAMBULE,09:44:44,09:43:12,Senior,1805,Male,4928,TEAM VITALITY CLUB CG,South Africa
5518,30023,F - Group 1,ZA,Terrence DLAMINI,09:44:44,09:41:08,40-49,2263,Male,4929,THE COUNTRY CLUB JOHANNESBURG,South Africa
5519,40507,F - Group 1,ZA,Musawenkosi MLOTSHWA,09:44:44,09:41:56,40-49,2264,Male,4930,PROTEA STRIDERS,South Africa
5520,53324,G - Group 1,ZA,Ntuthuko MBATHA,09:44:45,09:41:13,40-49,2265,Male,4931,CHEETHAS AC TRANSKEI,South Africa
5521,35943,D - Group 1,ZA,Devon MEIRING,09:44:47,09:43:15,Senior,1806,Male,4932,DOLPHIN COAST STRIDERS,South Africa
5522,27680,H - Group 1,ZA,Fhatu KONE,09:44:49,09:41:02,Senior,1807,Male,4933,WATERFALL AC,South Africa
5523,55615,E - Group 1,ZA,Khanya PUTINI,09:44:51,09:42:43,Senior,1808,Male,4934,TEAM VITALITY CLUB CG,South Africa
5524,36796,E - Group 1,ZA,Velile NOFATYELANA,09:44:52,09:42:18,Senior,1809,Male,4935,XJ ATHLETICS CLUB,South Africa
5525,11639,D - Group 1,KE,Timothy MURIITHI,09:44:56,09:43:29,Senior,1810,Male,4936,UBUNTU,Kenya
5526,56677,C - Group 1,ZA,Sibusiso NXUMALO,09:44:56,09:44:03,40-49,2266,Male,4937,HOLLYWOOD AC CGA,South Africa
5527,34089,D - Group 1,AO,Shinya JORDAO,09:44:58,09:42:47,40-49,2267,Male,4938,LUANDA RUNNERS,Angola
5528,20781,E - Group 1,ZA,Maxwell MNGWENWE,09:44:58,09:43:32,60-69,83,Male,4939,ITHEMBA ATHLETIC CLUB,South Africa
5529,30232,E - Group 1,ZA,Morne NEL,09:45:01,09:43:40,40-49,2268,Male,4940,HARMONY STRIDERS FS,South Africa
5530,42108,D - Group 1,CA,Victoria NOLAN,09:45:04,09:42:55,40-49,253,Female,590,7RUN3,Canada
5531,15162,F - Group 1,ZA,Thengezakhe DLAMINI,09:45:06,09:42:04,50-59,779,Male,4941,DIEPSLOOT AC,South Africa
5532,45957,F - Group 1,ZA,Viwe MDLADLAMBA,09:45:07,09:43:40,40-49,2269,Male,4942,FAT CATS AC CG,South Africa
5533,31701,B - Group 1,ZA,Sebastian KLEU,09:45:08,09:44:52,40-49,2270,Male,4943,ELITE AC EP,South Africa
5534,44678,E - Group 1,ZA,Smangaliso BUTHELEZI,09:45:08,09:42:39,40-49,2271,Male,4944,HOLLYWOOD AC KZNA,South Africa
5535,2800,E - Group 1,ZA,Paul RADLOFF,09:45:08,09:41:49,50-59,780,Male,4945,ESHOWE STRIDERS ATHLETICS CLUB,South Africa
5536,19609,D - Group 1,ZA,Lindokuhle MAZIBUKO,09:45:09,09:43:27,40-49,2272,Male,4946,ESHOWE STRIDERS ATHLETICS CLUB,South Africa
5537,51618,G - Group 1,ZA,Endricco Sicelo KUBHEKA,09:45:09,09:42:21,40-49,2273,Male,4947,PIRATES ROAD RUNNING CLUB,South Africa
5538,58661,D - Group 1,ZA,Graham TERBLANCHE,09:45:09,09:44:09,60-69,84,Male,4948,BESTMED MADIBAZ AC EP,South Africa
5539,7204,E - Group 1,ZA,Zwane HAMILTON,09:45:10,09:43:18,50-59,781,Male,4949,SIBANYE GOLD KLOOF ATHLETICS CLUB,South Africa
5540,28173,M - Group 2,ZA,Bonginkosi GUMEDE,09:45:10,09:43:58,60-69,85,Male,4950,CHESTERVILLE AC,South Africa
5541,35577,D - Group 1,AU,Gordon LAMBIE GIBSON,09:45:10,09:42:15,60-69,86,Male,4951,,Australia
5542,33305,G - Group 1,ZA,Doreen MATHEBELI,09:45:11,09:41:20,40-49,254,Female,591,SIBANYE STILLWATER AC,South Africa
5543,41230,F - Group 1,ZA,Chris BOTHA,09:45:12,09:41:23,40-49,2274,Male,4952,TEAM VITALITY AC EP,South Africa
5544,6861,G - Group 1,ZA,Delisile MPISANE,09:45:12,09:43:30,40-49,255,Female,592,HOLLYWOOD AC KZNA,South Africa
5545,27971,F - Group 1,ZA,Njabulo Edgar NXUMALO,09:45:13,09:42:41,50-59,782,Male,4953,HOLLYWOOD AC KZNA,South Africa
5546,13708,H - Group 1,ZA,Julian THOMAS,09:45:14,09:40:30,Senior,1811,Male,4954,TEAM VITALITY AC WP,South Africa
5547,44029,D - Group 1,ZA,Dean OELLERMANN,09:45:15,09:43:47,Senior,1812,Male,4955,HILTON HARRIERS,South Africa
5548,32538,E - Group 1,ZA,William John BARR,09:45:15,09:42:26,Senior,1813,Male,4956,COLLEGIANS HARRIERS,South Africa
5549,7027,H - Group 1,ZA,Nthambeleni MULAUDZI,09:45:16,09:42:18,50-59,783,Male,4957,TEAM VITALITY CLUB CG,South Africa
5550,11572,C - Group 1,ZA,Sergio-Lee WILLEMSE,09:45:18,09:44:22,Senior,1814,Male,4958,LAKE UMUZI SECUNDA MARATHON CLUB,South Africa
5551,52751,E - Group 1,ZA,Samkele JALI,09:45:18,09:42:12,Senior,1815,Male,4959,MERCEDES BENZ SA,South Africa
5552,44060,C - Group 1,ZA,Nico DU PLESSIS,09:45:18,09:44:23,Senior,1816,Male,4960,LAKE UMUZI SECUNDA MARATHON CLUB,South Africa
5553,28899,G - Group 1,ZA,Siyabonga BANI,09:45:19,09:43:04,40-49,2275,Male,4961,RISING SUN CHATSWORTH AC,South Africa
5554,38955,E - Group 1,ZA,Heinrich LOTZ,09:45:19,09:42:47,Senior,1817,Male,4962,NEDBANK RUNNING CLUB KZN,South Africa
5555,36753,G - Group 1,ZA,Scelo Scish THUSI,09:45:20,09:43:38,50-59,784,Male,4963,HOLLYWOOD AC KZNA,South Africa
5556,33924,F - Group 1,ZW,Ranga MAFUKIDZE,09:45:20,09:43:04,40-49,2276,Male,4964,,Zimbabwe
5557,5318,J - Group 1,ZA,Elisma MULLER,09:45:21,09:41:28,Senior,283,Female,593,RUN WALK FOR LIFE WP,South Africa
5558,29509,G - Group 1,ZA,Matome MABALE,09:45:22,09:42:37,50-59,785,Male,4965,LESEDI AC,South Africa
5559,43164,D - Group 1,ZA,Khazamula Steven BALOYE,09:45:23,09:43:59,40-49,2277,Male,4966,GIYANI GALLOPERS,South Africa
5560,42177,F - Group 1,ZW,Simbisai MUTANDI,09:45:23,09:41:20,40-49,2278,Male,4967,FIT & FURIOUS RUNNING CLUB,Zimbabwe
5561,28323,E - Group 1,ZW,Talkmore MPOFU,09:45:23,09:42:38,Senior,1818,Male,4968,RUNNING IS OUR THERAPY (RIOT),Zimbabwe
5562,50470,C - Group 1,ZW,Innocent Takudzwa MUDZIMU,09:45:25,09:44:42,Senior,1819,Male,4969,RUNNING IS OUR THERAPY ZIMBABWE,Zimbabwe
5563,48014,E - Group 1,ZW,Alexius MANYANDA,09:45:26,09:43:07,40-49,2279,Male,4970,HARARE ATHLETIC CLUB,Zimbabwe
5564,7141,D - Group 1,ZA,Tavis PIENAAR,09:45:26,09:44:00,40-49,2280,Male,4971,MEYERTON AC,South Africa
5565,51728,F - Group 1,ZA,Mondli NTULI,09:45:26,09:42:01,Senior,1820,Male,4972,WESTVILLE AC,South Africa
5566,32127,F - Group 1,ZA,Luke BAKER,09:45:26,09:41:21,Senior,1821,Male,4973,SOCIAL RUNNERS CLUB,South Africa
5567,55589,G - Group 1,XX,Julia MANAEVA,09:45:27,09:41:32,Senior,284,Female,594,YOLOCHKA TEAM,ANA
5568,36936,H - Group 1,ZA,Nkosinathi NGCOBO,09:45:28,09:42:39,Senior,1822,Male,4974,AOT RUNNING CLUB,South Africa
5569,31596,A - Group 1,NO,Lars DØRUM,09:45:28,09:45:17,70+,2,Male,4975,SPIRIDON,Norway
5570,37018,D - Group 1,ZA,Annelise BURKE,09:45:28,09:43:20,40-49,256,Female,595,PIETERSBURG ROAD RUNNERS,South Africa
5571,33345,G - Group 1,ZA,Lindeque Paulus MOKHACHANE,09:45:29,09:42:31,60-69,87,Male,4976,ACTOM ATHLETIC CLUB,South Africa
